node_id,vehicle_serial,gps_time,latitude,longitude,altitude,speed,heading
2025,PC3957P,2018-03-04T22:59:24.000Z,1.3098,103.77198,30,0,188.68
2026,PA9558D,2018-03-04T22:59:24.000Z,1.3151,103.69062,32,1,358.36
2031,PC3785T,2018-03-04T22:59:24.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:24.000Z,1.294683,103.77489,37,0,329.73
2054,PC3989Y,2018-03-04T22:59:24.000Z,1.2945,103.77513,48,0,290.1
2055,PC3995D,2018-03-04T22:59:24.000Z,1.29435,103.76955,9,0,21.16
2060,PC4071M,2018-03-04T22:59:24.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:25.000Z,1.3098,103.77198,30,0,188.68
2026,PA9558D,2018-03-04T22:59:25.000Z,1.3151,103.69062,34,1,358.36
2031,PC3785T,2018-03-04T22:59:25.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:25.000Z,1.294683,103.77489,37,0,329.73
2054,PC3989Y,2018-03-04T22:59:25.000Z,1.2945,103.77513,48,0,290.1
2055,PC3995D,2018-03-04T22:59:25.000Z,1.29435,103.76955,9,0,21.16
2060,PC4071M,2018-03-04T22:59:25.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:26.000Z,1.3098,103.77198,30,0,188.68
2026,PA9558D,2018-03-04T22:59:26.000Z,1.3151,103.69064,35,1,358.36
2031,PC3785T,2018-03-04T22:59:26.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:26.000Z,1.294683,103.77489,37,0,329.73
2054,PC3989Y,2018-03-04T22:59:26.000Z,1.2945,103.77513,48,0,290.1
2055,PC3995D,2018-03-04T22:59:26.000Z,1.29435,103.76955,9,0,21.16
2060,PC4071M,2018-03-04T22:59:26.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:27.000Z,1.3098,103.77198,30,0,188.68
2026,PA9558D,2018-03-04T22:59:27.000Z,1.315083,103.69064,36,1,358.36
2031,PC3785T,2018-03-04T22:59:27.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:27.000Z,1.294683,103.77489,37,0,329.73
2054,PC3989Y,2018-03-04T22:59:27.000Z,1.2945,103.77513,48,0,290.1
2055,PC3995D,2018-03-04T22:59:27.000Z,1.29435,103.76955,9,0,21.16
2060,PC4071M,2018-03-04T22:59:27.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:28.000Z,1.3098,103.77198,30,0,188.68
2026,PA9558D,2018-03-04T22:59:28.000Z,1.315083,103.69064,37,1,358.36
2031,PC3785T,2018-03-04T22:59:28.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:28.000Z,1.294683,103.77489,37,0,329.73
2054,PC3989Y,2018-03-04T22:59:28.000Z,1.2945,103.77513,48,0,290.1
2055,PC3995D,2018-03-04T22:59:28.000Z,1.29435,103.76955,9,0,21.16
2060,PC4071M,2018-03-04T22:59:28.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:29.000Z,1.3098,103.77198,30,0,188.68
2026,PA9558D,2018-03-04T22:59:29.000Z,1.315083,103.69062,37,4,305.73
2031,PC3785T,2018-03-04T22:59:29.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:29.000Z,1.294683,103.77489,37,0,329.73
2054,PC3989Y,2018-03-04T22:59:29.000Z,1.2945,103.77513,48,0,290.1
2055,PC3995D,2018-03-04T22:59:29.000Z,1.29435,103.76955,9,0,21.16
2060,PC4071M,2018-03-04T22:59:29.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:30.000Z,1.3098,103.77198,30,0,188.68
2026,PA9558D,2018-03-04T22:59:30.000Z,1.315083,103.6906,37,2,305.73
2031,PC3785T,2018-03-04T22:59:30.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:30.000Z,1.294683,103.77489,37,0,329.73
2054,PC3989Y,2018-03-04T22:59:30.000Z,1.2945,103.77513,48,0,290.1
2055,PC3995D,2018-03-04T22:59:30.000Z,1.29435,103.76955,9,0,21.16
2060,PC4071M,2018-03-04T22:59:30.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:31.000Z,1.3098,103.77198,31,0,188.68
2026,PA9558D,2018-03-04T22:59:31.000Z,1.315083,103.6906,37,1,305.73
2031,PC3785T,2018-03-04T22:59:31.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:31.000Z,1.294683,103.77489,37,0,329.73
2054,PC3989Y,2018-03-04T22:59:31.000Z,1.2945,103.77513,48,0,290.1
2055,PC3995D,2018-03-04T22:59:31.000Z,1.29435,103.76955,9,0,21.16
2060,PC4071M,2018-03-04T22:59:31.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:32.000Z,1.3098,103.77198,31,0,188.68
2026,PA9558D,2018-03-04T22:59:32.000Z,1.315083,103.6906,37,1,305.73
2031,PC3785T,2018-03-04T22:59:32.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:32.000Z,1.294683,103.77489,37,0,329.73
2054,PC3989Y,2018-03-04T22:59:32.000Z,1.2945,103.77513,48,0,290.1
2055,PC3995D,2018-03-04T22:59:32.000Z,1.29435,103.76955,9,0,21.16
2060,PC4071M,2018-03-04T22:59:32.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:33.000Z,1.3098,103.77198,31,0,188.68
2026,PA9558D,2018-03-04T22:59:33.000Z,1.315083,103.6906,37,1,305.73
2031,PC3785T,2018-03-04T22:59:33.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:33.000Z,1.294683,103.77489,37,0,329.73
2054,PC3989Y,2018-03-04T22:59:33.000Z,1.2945,103.77513,48,0,290.1
2055,PC3995D,2018-03-04T22:59:33.000Z,1.29435,103.76955,9,0,21.16
2060,PC4071M,2018-03-04T22:59:33.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:34.000Z,1.3098,103.77198,31,0,188.68
2026,PA9558D,2018-03-04T22:59:34.000Z,1.315083,103.6906,37,1,305.73
2031,PC3785T,2018-03-04T22:59:34.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:34.000Z,1.294683,103.77489,37,0,329.73
2054,PC3989Y,2018-03-04T22:59:34.000Z,1.2945,103.77513,48,0,290.1
2055,PC3995D,2018-03-04T22:59:34.000Z,1.29435,103.76955,9,0,21.16
2060,PC4071M,2018-03-04T22:59:34.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:35.000Z,1.3098,103.77198,31,0,188.68
2026,PA9558D,2018-03-04T22:59:35.000Z,1.315083,103.6906,37,1,305.73
2031,PC3785T,2018-03-04T22:59:35.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:35.000Z,1.294683,103.77489,37,0,329.73
2054,PC3989Y,2018-03-04T22:59:35.000Z,1.2945,103.77513,48,0,290.1
2055,PC3995D,2018-03-04T22:59:35.000Z,1.29435,103.76955,9,0,21.16
2060,PC4071M,2018-03-04T22:59:35.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:36.000Z,1.3098,103.77198,31,0,188.68
2026,PA9558D,2018-03-04T22:59:36.000Z,1.315083,103.6906,37,2,315.96
2031,PC3785T,2018-03-04T22:59:36.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:36.000Z,1.294683,103.77489,37,0,329.73
2054,PC3989Y,2018-03-04T22:59:36.000Z,1.2945,103.77513,48,0,290.1
2055,PC3995D,2018-03-04T22:59:36.000Z,1.29435,103.76955,9,0,21.16
2060,PC4071M,2018-03-04T22:59:36.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:37.000Z,1.3098,103.77198,31,0,188.68
2026,PA9558D,2018-03-04T22:59:37.000Z,1.315083,103.6906,37,2,315.96
2031,PC3785T,2018-03-04T22:59:37.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:37.000Z,1.294683,103.77489,37,0,329.73
2055,PC3995D,2018-03-04T22:59:37.000Z,1.29435,103.76955,9,0,21.16
2060,PC4071M,2018-03-04T22:59:37.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:38.000Z,1.3098,103.77198,31,0,188.68
